t,scale_R_gps,scale_Q,scale_gate
19.527475,1.000051,1.000000,0.911250
19.627503,1.000043,1.000000,0.910491
19.727469,1.000037,1.000000,0.913719
19.837508,1.000031,1.000000,0.914532
19.937431,1.000027,1.000000,0.912352
20.037400,1.000023,1.000000,0.910499
20.147420,1.000019,1.000000,0.908924
20.247371,1.000016,1.000000,0.912498
20.357382,1.000014,1.000000,0.918497
20.457362,1.000012,1.000000,0.917525
20.557335,1.000010,1.000000,0.914896
20.667321,1.000009,1.000000,0.912662
20.767307,1.000007,1.000000,0.910762
20.877349,1.000006,1.000000,0.909148
20.977290,1.000005,1.000000,0.907776
21.077268,1.000004,1.000000,0.909575
21.187293,1.000004,1.000000,0.909568
21.287233,1.000003,1.000000,0.908133
21.387276,1.000003,1.000000,0.906913
21.497337,1.000002,1.000000,0.905876
21.597383,1.000002,1.000000,0.904994
21.707168,1.000002,1.000000,0.904867
21.807358,1.000001,1.000000,0.904137
21.907310,1.000001,1.000000,0.903516
22.017136,1.000001,1.000000,0.902989
22.117118,1.000001,1.000000,0.902541
22.227128,1.000001,1.000000,0.902159
22.327173,1.000001,1.000000,0.901836
22.427104,1.000001,1.000000,0.901560
22.537092,1.000000,1.000000,0.901326
22.637048,1.000000,1.000000,0.901127
22.737062,1.000000,1.000000,0.900958
22.847069,1.000000,1.000000,0.900814
22.947064,1.000000,1.000000,0.900692
23.057003,1.000000,1.000000,0.900588
23.157010,1.000000,1.000000,0.900500
23.257009,1.000000,1.000000,0.900773
23.367025,1.000000,1.000000,0.900657
23.467024,1.000000,1.000000,0.900558
23.576983,1.000000,1.000000,0.900475
23.676969,1.000000,1.000000,0.900403
23.776932,1.000000,1.000000,0.900343
23.887012,1.000000,1.000000,0.900291
23.986899,1.000000,1.000000,0.900248
24.097046,1.000000,1.000000,0.900211
24.196902,1.000000,1.000000,0.900179
24.297108,1.000000,1.000000,0.900152
24.406877,1.000000,1.000000,0.900129
24.506871,1.000000,1.000000,0.900110
24.616817,1.000000,1.000000,0.900093
24.716844,1.000000,1.000000,0.900079
24.816904,1.000000,1.000000,0.900067
24.926774,1.000000,1.000000,0.900057
25.026821,1.000000,1.000000,0.900049
25.126774,1.000000,1.000000,0.900041
25.236745,1.000000,1.000000,0.900035
25.336896,1.000000,1.000000,0.900030
25.446759,1.000000,1.000000,0.900025
25.546714,1.000000,1.000000,0.900022
25.646703,1.000000,1.000000,0.900018
25.756645,1.000000,1.000000,0.900016
25.856716,1.000000,1.000000,0.900013
25.966638,1.000000,1.000000,0.900011
26.066646,1.000000,1.000000,0.900960
26.166635,1.000000,1.000000,0.900816
26.276607,1.000000,1.000000,0.900694
26.376645,1.000000,1.000000,0.900590
26.476572,1.000000,1.000000,0.900501
26.586665,1.000000,1.000000,0.900426
26.686552,1.000000,1.000000,0.900362
26.796610,1.000000,1.000000,0.900308
26.896737,1.000000,1.000000,0.900262
26.996531,1.000000,1.000000,0.900222
27.106507,1.000000,1.000000,0.900189
27.206486,1.000000,1.000000,0.900161
27.316565,1.000000,1.000000,0.902771
27.416513,1.000000,1.000000,0.902356
27.516475,1.000000,1.000000,0.902002
27.626434,1.000000,1.000000,0.901702
27.726424,1.000000,1.000000,0.901447
27.826443,1.000000,1.000000,0.901230
27.936397,1.000000,1.000000,0.901321
28.036377,1.000000,1.000000,0.901123
28.146416,1.000000,1.000000,0.900954
28.246351,1.000000,1.000000,0.900811
28.346444,1.000000,1.000000,0.900689
28.456335,1.000000,1.000000,0.900586
28.556330,1.000000,1.000000,0.900498
28.666304,1.000000,1.000000,0.900423
28.766285,1.000000,1.000000,0.900360
28.866404,1.000000,1.000000,0.900306
28.976294,1.000000,1.000000,0.900260
29.076245,1.000000,1.000000,0.900221
29.176233,1.000000,1.000000,0.900188
29.286257,1.000000,1.000000,0.900160
29.386236,1.000000,1.000000,0.902490
29.496373,1.000000,1.000000,0.913938
29.596208,1.000000,1.000000,0.911966
29.696354,1.000000,1.000000,0.910171
29.806237,1.000000,1.000000,0.908646
29.906197,1.000000,1.000000,0.914265
30.006116,1.000000,1.000000,0.916820
30.116120,1.000000,1.000000,0.920579
30.216101,1.000000,1.000000,0.928575
30.326156,1.000000,1.000000,0.928572
30.426128,1.000000,1.000000,0.924286
30.526050,1.000000,1.000000,0.920643
30.636058,1.000000,1.000000,0.925889
30.736018,1.017335,1.000000,0.937006
30.851011,1.033694,1.000000,0.946455
30.966004,1.030480,1.000000,0.954487
31.046011,1.025908,1.000000,0.946413
31.155948,1.022022,1.000000,0.939451
31.255988,1.018718,1.000000,0.933534
31.356037,1.015911,1.000000,0.939205
31.465941,1.013524,1.000000,0.948226
31.565938,1.011495,1.000000,0.942036
31.675967,1.009771,1.000000,0.938706
31.775916,1.008305,1.000000,0.942464
31.875927,1.007060,1.000000,0.947935
31.985943,1.006001,1.000000,0.946896
32.085865,1.005101,1.000000,0.939861
32.195898,1.004335,1.000000,0.934587
32.296057,1.061232,1.000000,0.944399
32.395898,1.052047,1.000000,0.952739
32.505812,1.044240,1.000000,0.959828
32.605821,1.037604,1.000000,0.965854
32.715764,1.031964,1.000000,0.970976
32.815970,1.027169,1.000000,0.975330
32.915785,1.023094,1.000000,0.979030
33.025765,1.019630,1.000000,0.982176
33.125745,1.016685,1.000000,0.984849
33.225713,1.014182,1.000000,0.987122
33.335917,1.012055,1.000000,0.989054
33.435689,1.010247,1.000000,0.990696
33.545738,1.008710,1.000000,0.992091
33.645663,1.007403,1.000000,0.993278
33.745647,1.006293,1.000000,0.994286
33.855687,1.005349,1.000000,0.995143
33.955642,1.004547,1.000000,0.995872
34.065610,1.003865,1.000000,0.996491
34.165611,1.003285,1.000000,0.997017
34.265648,1.002792,1.000000,0.997465
34.375621,1.002373,1.000000,0.997845
34.475561,1.002017,1.000000,0.998168
34.585556,1.001715,1.000000,0.998443
34.685542,1.001458,1.000000,0.998677
34.785520,1.001239,1.000000,0.998875
34.895611,1.001053,1.000000,0.999044
34.995623,1.000895,1.000000,0.999187
35.095546,1.000761,1.000000,0.999309
35.205467,1.000647,1.000000,0.999413
35.305523,1.000550,1.000000,0.999501
35.415478,1.000467,1.000000,0.999576
35.515428,1.000397,1.000000,0.999639
35.615441,1.000338,1.000000,0.999693
35.725407,1.000287,1.000000,0.999739
35.825488,1.000244,1.000000,0.999779
35.935514,1.000207,1.000000,0.999812
36.035359,1.000176,1.000000,0.999840
36.135379,1.000150,1.000000,0.999864
36.245330,1.000127,1.000000,0.999884
36.345449,1.000108,1.000000,0.999902
36.445312,1.000092,1.000000,0.999916
36.555322,1.000078,1.000000,0.999929
36.655299,1.000066,1.000000,0.999940
36.765252,1.000056,1.000000,0.999949
36.865314,1.000048,1.000000,0.999956
36.965254,1.000041,1.000000,0.999963
37.075237,1.000035,1.000000,0.999968
37.175223,1.000029,1.000000,0.999973
37.285208,1.000025,1.000000,0.999977
37.385295,1.000021,1.000000,0.999981
37.485167,1.000018,1.000000,0.999984
37.595234,1.000015,1.000000,0.999986
37.695279,1.000013,1.000000,0.999988
37.795377,1.000011,1.000000,0.999990
37.905156,1.000009,1.000000,0.999991
38.005112,1.000008,1.000000,0.999993
38.115083,1.000007,1.000000,0.999994
38.215083,1.000006,1.000000,0.999995
38.315182,1.000005,1.000000,0.999996
38.425048,1.000004,1.000000,0.999996
38.525075,1.000004,1.000000,0.999997
38.635024,1.000003,1.000000,0.999997
38.735009,1.000003,1.000000,0.999998
38.835024,1.000002,1.000000,0.999998
38.945038,1.000002,1.000000,0.999998
39.044957,1.000002,1.000000,0.999999
39.144964,1.000001,1.000000,0.999999
39.254922,1.000001,1.000000,0.999999
39.354981,1.000001,1.000000,0.999999
39.464906,1.000001,1.000000,0.999999
39.564910,1.000001,1.000000,0.999999
39.664953,1.000001,1.000000,0.999999
39.774879,1.000001,1.000000,1.000000
39.874932,1.000000,1.000000,1.000000
39.984842,1.000000,1.000000,1.000000
40.084831,1.000000,1.000000,1.000000
40.184826,1.000000,1.000000,1.000000
40.294998,1.000000,1.000000,1.000000
40.394970,1.000000,1.000000,1.000000
40.494956,1.000000,1.000000,1.000000
40.604773,1.000000,1.000000,1.000000
40.704815,1.000000,1.000000,1.000000
40.814834,1.000000,1.000000,1.000000
40.914756,1.000000,1.000000,1.000000
41.014725,1.000000,1.000000,1.000000
41.124725,1.000000,1.000000,1.000000
41.224768,1.000000,1.000000,1.000000
41.324901,1.000000,1.000000,1.000000
41.434688,1.000000,1.000000,1.000000
41.534665,1.000000,1.000000,1.000000
41.644662,1.000000,1.000000,1.000000
41.744634,1.000000,1.000000,1.000000
41.844675,1.000000,1.000000,1.000000
41.954639,1.000000,1.000000,1.000000
42.054643,1.000000,1.000000,1.000000
42.154596,1.000000,1.000000,1.000000
42.264624,1.000000,1.000000,1.000000
42.364606,1.000000,1.000000,1.000000
42.474573,1.000000,1.000000,1.000000
42.574547,1.000000,1.000000,1.000000
42.674519,1.000000,1.000000,1.000000
42.784565,1.000000,1.000000,1.000000
42.884538,1.000000,1.000000,1.000000
42.984465,1.000000,1.000000,1.000000
43.094565,1.000000,1.000000,1.000000
43.194589,1.000000,1.000000,1.000000
43.304588,1.000000,1.000000,1.000000
43.404496,1.000000,1.000000,1.000000
43.504435,1.000000,1.000000,1.000000
43.614411,1.000000,1.000000,1.000000
43.714338,1.000000,1.000000,1.000000
43.824398,1.000000,1.000000,1.000000
43.924389,1.000000,1.000000,1.000000
44.024313,1.000000,1.000000,1.000000
44.134312,1.000000,1.000000,1.000000
44.234262,1.000000,1.000000,1.000000
44.344506,1.000000,1.000000,1.000000
44.444242,1.000000,1.000000,1.000000
44.544279,1.000000,1.000000,1.000000
44.654283,1.000000,1.000000,1.000000
44.754256,1.000000,1.000000,1.000000
44.864223,1.000000,1.000000,1.000000
44.964186,1.000000,1.000000,1.000000
45.064295,1.000000,1.000000,1.000000
45.174162,1.000000,1.000000,1.000000
45.274169,1.000000,1.000000,1.000000
45.384168,1.000000,1.000000,1.000000
45.484156,1.000000,1.000000,1.000000
45.584095,1.000000,1.000000,1.000000
45.694122,1.000000,1.000000,1.000000
45.794162,1.000000,1.000000,1.000000
45.894361,1.000000,1.000000,1.000000
46.004079,1.000000,1.000000,1.000000
46.104036,1.000000,1.000000,1.000000
46.214023,1.000000,1.000000,1.000000
46.314098,1.000000,1.000000,1.000000
46.414085,1.000000,1.000000,1.000000
46.524019,1.000000,1.000000,1.000000
46.624008,1.000000,1.000000,1.000000
46.733944,1.000000,1.000000,1.000000
46.833987,1.000000,1.000000,1.000000
46.933921,1.000000,1.000000,1.000000
47.043908,1.000000,1.000000,1.000000
47.143879,1.000000,1.000000,1.000000
47.243977,1.000000,1.000000,1.000000
47.353941,1.000000,1.000000,1.000000
47.453862,1.000000,1.000000,1.000000
47.563860,1.000000,1.000000,1.000000
47.663824,1.000000,1.000000,1.000000
47.763847,1.000000,1.000000,1.000000
47.873837,1.000000,1.000000,1.000000
47.973793,1.000000,1.000000,1.000000
48.083784,1.000000,1.000000,1.000000
48.183821,1.000000,1.000000,1.000000
48.283780,1.000000,1.000000,1.000000
48.393867,1.000000,1.000000,1.000000
48.493751,1.000000,1.000000,1.000000
48.593819,1.000000,1.000000,1.000000
48.703765,1.000000,1.000000,1.000000
48.803833,1.000000,1.000000,1.000000
48.913703,1.000000,1.000000,1.000000
49.013681,1.000000,1.000000,1.000000
49.113672,1.000000,1.000000,1.000000
49.223686,1.000000,1.000000,1.000000
49.323827,1.000000,1.000000,1.000000
49.433659,1.000000,1.000000,1.000000
49.533649,1.000000,1.000000,1.000000
49.633623,1.000000,1.000000,1.000000
49.743665,1.000000,1.000000,1.000000
49.843615,1.000000,1.000000,1.000000
49.953585,1.000000,1.000000,1.000000
50.053521,1.000000,1.000000,1.000000
50.153567,1.000000,1.000000,1.000000
50.263549,1.000000,1.000000,1.000000
50.363586,1.000000,1.000000,1.000000
50.463579,1.000000,1.000000,1.000000
50.573516,1.000000,1.000000,1.000000
50.673512,1.000000,1.000000,1.000000
50.783498,1.000000,1.000000,1.000000
50.883609,1.000000,1.000000,1.000000
50.983441,1.000000,1.000000,1.000000
51.093487,1.000000,1.000000,1.000000
51.193452,1.000000,1.000000,1.000000
51.293625,1.000000,1.000000,1.000000
51.403469,1.000000,1.000000,1.000000
51.503406,1.000000,1.000000,1.000000
51.613381,1.000000,1.000000,1.000000
51.713353,1.000000,1.000000,1.000000
51.813492,1.000000,1.000000,1.000000
51.923345,1.000000,1.000000,1.000000
52.023378,1.000000,1.000000,1.000000
52.133285,1.000000,1.000000,1.000000
52.233293,1.000000,1.000000,1.000000
52.333464,1.000000,1.000000,1.000000
52.443267,1.000000,1.000000,1.000000
52.543198,1.000000,1.000000,1.000000
52.643258,1.000000,1.000000,1.000000
52.753202,1.000000,1.000000,1.000000
