t,scale_R_gps,scale_Q,scale_gate
24.406877,1.000000,1.000000,0.900028
24.506871,1.000000,1.000000,0.900024
24.616817,1.000000,1.000000,0.900020
24.716844,1.000000,1.000000,0.900017
24.816904,1.000000,1.000000,0.900015
24.926774,1.000000,1.000000,0.900012
25.026821,1.000000,1.000000,0.900011
25.126774,1.000000,1.000000,0.900009
25.236745,1.000000,1.000000,0.900008
25.336896,1.000000,1.000000,0.900007
25.446759,1.000000,1.000000,0.900006
25.546714,1.000000,1.000000,0.900005
25.646703,1.000000,1.000000,0.900004
25.756645,1.000000,1.000000,0.900003
25.856716,1.000000,1.000000,0.900003
25.966638,1.000000,1.000000,0.900002
26.066646,1.000000,1.000000,0.900002
26.166635,1.000000,1.000000,0.900002
26.276607,1.000000,1.000000,0.900002
26.376645,1.000000,1.000000,0.900001
26.476572,1.000000,1.000000,0.900001
26.586665,1.000000,1.000000,0.900001
26.686552,1.000000,1.000000,0.900001
26.796610,1.000000,1.000000,0.900001
26.896737,1.000000,1.000000,0.900001
26.996531,1.000000,1.000000,0.901909
27.106507,1.000000,1.000000,0.902355
27.206486,1.000000,1.000000,0.902002
27.316565,1.000000,1.000000,0.901702
27.416513,1.000000,1.000000,0.901446
27.516475,1.000000,1.000000,0.901229
27.626434,1.000000,1.000000,0.901045
27.726424,1.000000,1.000000,0.900888
27.826443,1.000000,1.000000,0.900755
27.936397,1.000000,1.000000,0.900642
28.036377,1.000000,1.000000,0.900545
28.146416,1.000000,1.000000,0.900464
28.246351,1.000000,1.000000,0.900394
28.346444,1.000000,1.000000,0.900335
28.456335,1.000000,1.000000,0.900285
28.556330,1.000000,1.000000,0.900242
28.666304,1.000000,1.000000,0.900206
28.766285,1.000000,1.000000,0.900175
28.866404,1.000000,1.000000,0.907349
28.976294,1.000000,1.000000,0.910700
29.076245,1.000000,1.000000,0.909095
29.176233,1.000000,1.000000,0.907731
29.286257,1.000000,1.000000,0.906571
29.386236,1.000000,1.000000,0.909237
29.496373,1.000000,1.000000,0.910031
29.596208,1.000000,1.000000,0.908527
29.696354,1.000000,1.000000,0.907710
29.806237,1.000000,1.000000,0.906554
29.906197,1.000000,1.000000,0.905571
30.006116,1.000000,1.000000,0.904735
30.116120,1.000000,1.000000,0.912466
30.216101,1.024697,1.000000,0.925596
30.326156,1.050070,1.000000,0.936756
30.426128,1.045927,1.000000,0.946243
30.526050,1.039038,1.000000,0.939306
30.636058,1.033182,1.000000,0.933411
30.736018,1.028205,1.000000,0.928399
30.851011,1.023974,1.000000,0.929745
30.966004,1.020378,1.000000,0.934018
31.046011,1.017321,1.000000,0.932440
31.155948,1.014723,1.000000,0.927574
31.255988,1.012515,1.000000,0.923438
31.356037,1.010638,1.000000,0.919922
31.465941,1.009042,1.000000,0.919090
31.565938,1.007686,1.000000,0.922471
31.675967,1.006533,1.000000,0.920157
31.775916,1.005553,1.000000,0.917133
31.875927,1.004720,1.000000,0.914563
31.985943,1.004012,1.000000,0.915447
32.085865,1.035104,1.000000,0.928130
32.195898,1.104838,1.000000,0.938911
32.296057,1.164113,1.000000,0.948074
32.395898,1.214496,1.000000,0.955863
32.505812,1.257321,1.000000,0.962484
32.605821,1.293723,1.000000,0.968111
32.715764,1.324665,1.000000,0.972894
32.815970,1.350965,1.000000,0.976960
32.915785,1.373320,1.000000,0.980416
33.025765,1.392322,1.000000,0.983354
33.125745,1.408474,1.000000,0.985851
33.225713,1.422203,1.000000,0.987973
33.335917,1.433872,1.000000,0.989777
33.435689,1.443791,1.000000,0.991311
33.545738,1.452223,1.000000,0.992614
33.645663,1.459389,1.000000,0.993722
33.745647,1.465481,1.000000,0.994664
33.855687,1.470659,1.000000,0.995464
33.955642,1.475060,1.000000,0.996144
34.065610,1.478801,1.000000,0.996723
34.165611,1.481981,1.000000,0.997214
34.265648,1.484684,1.000000,0.997632
34.375621,1.486981,1.000000,0.997987
34.475561,1.488934,1.000000,0.998289
34.585556,1.490594,1.000000,0.998546
34.685542,1.492005,1.000000,0.998764
34.785520,1.493204,1.000000,0.998949
34.895611,1.494223,1.000000,0.999107
34.995623,1.495090,1.000000,0.999241
35.095546,1.495826,1.000000,0.999355
35.205467,1.496452,1.000000,0.999452
35.305523,1.496985,1.000000,0.999534
35.415478,1.497437,1.000000,0.999604
35.515428,1.497821,1.000000,0.999663
35.615441,1.498148,1.000000,0.999714
35.725407,1.498426,1.000000,0.999757
35.825488,1.498662,1.000000,0.999793
35.935514,1.498863,1.000000,0.999824
36.035359,1.499033,1.000000,0.999851
36.135379,1.499178,1.000000,0.999873
36.245330,1.499302,1.000000,0.999892
36.345449,1.499406,1.000000,0.999908
36.445312,1.499495,1.000000,0.999922
36.555322,1.499571,1.000000,0.999934
36.655299,1.499635,1.000000,0.999944
36.765252,1.499690,1.000000,0.999952
36.865314,1.499737,1.000000,0.999959
36.965254,1.499776,1.000000,0.999965
37.075237,1.499810,1.000000,0.999971
37.175223,1.499838,1.000000,0.999975
37.285208,1.499863,1.000000,0.999979
37.385295,1.499883,1.000000,0.999982
37.485167,1.499901,1.000000,0.999985
37.595234,1.499916,1.000000,0.999987
37.695279,1.499928,1.000000,0.999989
37.795377,1.499939,1.000000,0.999991
37.905156,1.499948,1.000000,0.999992
38.005112,1.499956,1.000000,0.999993
38.115083,1.499963,1.000000,0.999994
38.215083,1.499968,1.000000,0.999995
38.315182,1.499973,1.000000,0.999996
38.425048,1.499977,1.000000,0.999996
38.525075,1.499980,1.000000,0.999997
38.635024,1.499983,1.000000,0.999997
38.735009,1.499986,1.000000,0.999998
38.835024,1.499988,1.000000,0.999998
38.945038,1.499990,1.000000,0.999998
39.044957,1.499991,1.000000,0.999999
39.144964,1.499993,1.000000,0.999999
39.254922,1.499994,1.000000,0.999999
39.354981,1.499995,1.000000,0.999999
39.464906,1.499995,1.000000,0.999999
